parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.6.3.weight,0.2,69.57,89.072,1.2836479661331996,0.20400000000000418,2.2639999999999993,28.763933499959215,0.2678973972797394
module.basic_model.model.6.3.weight,0.25,69.57,89.072,1.2836479665908174,0.19400000000000528,2.2619999999999973,28.75473994622993,0.2678973972797394
module.basic_model.model.6.3.weight,0.30000000000000004,69.57,89.072,1.2836479704042911,0.20200000000000218,2.281999999999995,28.770802550337233,0.2678973972797394
module.basic_model.model.6.3.weight,0.35000000000000003,69.574,89.076,1.2836653591727722,0.19799999999999818,2.2619999999999973,28.76738109271341,0.2678973972797394
module.basic_model.model.6.3.weight,0.4,69.56400000000001,89.068,1.28436269461918,0.20000000000000018,2.2639999999999993,28.835218866437323,0.2678973972797394
module.basic_model.model.6.3.weight,0.45,69.484,89.054,1.28590841603752,0.20200000000000218,2.2719999999999962,28.92079421303932,0.2678973972797394
module.basic_model.model.6.3.weight,0.5,69.448,89.074,1.2858644260173413,0.19799999999999818,2.3340000000000027,28.727767004085052,0.2678973972797394
module.basic_model.model.6.3.weight,0.55,69.286,88.908,1.2925010299118216,0.18399999999999528,2.1179999999999977,28.713014048639224,0.2678973972797394
module.basic_model.model.6.3.weight,0.6000000000000001,69.00800000000001,88.542,1.3036390958653,0.20799999999999708,2.1220000000000017,27.210874931215876,0.2678973972797394
module.basic_model.model.6.3.weight,0.65,68.352,88.212,1.325074563023375,0.20999999999999908,2.061999999999997,26.777613226450626,0.2678973972797394
module.basic_model.model.6.3.weight,0.7000000000000001,67.674,87.874,1.3569694281539624,0.19200000000000328,1.8859999999999988,26.769035798803177,0.2678973972797394
module.basic_model.model.6.3.weight,0.75,65.022,86.084,1.4762915875083427,0.15399999999999858,1.4480000000000048,26.760140101419957,0.2678973972797394
module.basic_model.model.6.3.weight,0.8,59.264,81.56400000000001,1.7750647709831864,0.14399999999999968,1.1619999999999964,25.23608909748488,0.2678973972797394
module.basic_model.model.6.3.weight,0.8500000000000001,54.583999999999996,77.972,2.0227075014370652,0.12400000000000189,1.0199999999999987,24.58001996917138,0.2678973972797394
