parameter,sparsity,top1,top5,loss,variance
module.layer3.2.conv2.weight,0.75,92.13,99.74,0.2760981056839228,0.0006215237663127482
module.layer3.2.conv2.weight,0.8,92.10000000000001,99.74,0.2798851870000363,0.0006215237663127482
module.layer3.2.conv2.weight,0.8500000000000001,92.16,99.74,0.275874212756753,0.0006215237663127482
module.layer3.2.conv2.weight,0.9,92.17999999999999,99.74,0.2730791162699462,0.0006215237663127482
module.layer3.2.conv3.weight,0.0,92.12,99.74,0.27245130874216555,0.0006500333547592163
module.layer3.2.conv3.weight,0.05,92.12,99.74,0.2725195597857238,0.0006500333547592163
module.layer3.2.conv3.weight,0.1,92.12,99.74,0.2801833175122737,0.0006500333547592163
module.layer3.2.conv3.weight,0.15000000000000002,92.12,99.74,0.27432699650526043,0.0006500333547592163
module.layer3.2.conv3.weight,0.2,92.12,99.74,0.2713712066411972,0.0006500333547592163
module.layer3.2.conv3.weight,0.25,92.12,99.74,0.27190496176481244,0.0006500333547592163
module.layer3.2.conv3.weight,0.30000000000000004,92.12,99.74,0.27291852906346314,0.0006500333547592163
module.layer3.2.conv3.weight,0.35000000000000003,92.12,99.74,0.2904717437922955,0.0006500333547592163
module.layer3.2.conv3.weight,0.4,92.12,99.74,0.28034237585961824,0.0006500333547592163
module.layer3.2.conv3.weight,0.45,92.12,99.74,0.27110145315527906,0.0006500333547592163
module.layer3.2.conv3.weight,0.5,92.12,99.74,0.278640266135335,0.0006500333547592163
module.layer3.2.conv3.weight,0.55,92.12,99.74,0.28419250734150414,0.0006500333547592163
module.layer3.2.conv3.weight,0.6000000000000001,92.12,99.74,0.2788391463458537,0.0006500333547592163
module.layer3.2.conv3.weight,0.65,92.12,99.74,0.273338308185339,0.0006500333547592163
module.layer3.2.conv3.weight,0.7000000000000001,92.12,99.74,0.2711013361811638,0.0006500333547592163
module.layer3.2.conv3.weight,0.75,92.12,99.74,0.2706498175859451,0.0006500333547592163
